,Навание блюда,Состав,Ингредиенты,Картинка
58,Лимонад,"Домашний лимонад - напиток из лимонов освежает и охлаждает!лимон, вода кипяченая, сахар","лимон, вода кипяченая, сахар",https://img1.russianfood.com/dycontent/images_upl/10/sm_9478.jpg
59,Мятное молоко,"+33... Обжигающая, тягучая, липкая жара... Не то что готовить - на кухню лишний раз заходить не хочется. Разве что минут на пять. Ровно столько времени понадобится, чтобы приготовить чудесный летний напиток: холодное, освежающее и неизменно поднимающее настроение мятное молоко. :)молоко, сахар, мята свежая","молоко, сахар, мята свежая",https://img1.russianfood.com/dycontent/images_upl/16/sm_15096.jpg
60,Молочный коктейль,"Простой рецепт молочного коктейля можно сделать особенным добавив в него фрукты, шоколад, сливки и т.д.мороженое сливочное, молоко, шоколад","мороженое сливочное, молоко, шоколад",https://img1.russianfood.com/dycontent/images_upl/97/sm_96293.jpg
61,Холодный вишнево-мятный чай,"Рецепт холодного чая со свежей мятой и вишней. Такой вишнево-мятный чай хорошо охлаждает в жаркую погоду!вишня, мята, чай черный, сахар, кипяток","вишня, мята, чай черный, сахар, кипяток",https://img1.russianfood.com/dycontent/images_upl/10/sm_9685.jpg
62,Фруктовый милк-шейк,"Фруктовый милк-шейк - это по-простому молочный коктейль с фруктами или ягодами. Этой ""мечтой детства"" можно радовать себя всю жизнь. Тем более, что вариантов этого напитка молодости может быть множество -  молочные коктейли могут быть питательными и низкокалорийными, густыми и жидкими, сладкими и не очень, но все это – очень вкусные напитки.ягоды, клубника, молоко, мороженое, йогурт","ягоды, клубника, молоко, мороженое, йогурт",https://img1.russianfood.com/dycontent/images_upl/4/sm_3013.jpg
63,"Безалкогольный коктейль ""Мохито""","Коктейль ""Мохито"" прекрасно утоляет жажду.мята свежая, лимон, лайм, сахар, лед, вода минеральная","мята свежая, лимон, лайм, сахар, лед, вода минеральная",https://img1.russianfood.com/dycontent/images_upl/124/sm_123609.jpg
64,Вино из одуванчиков,"Это вино еще не прозрачное, потому, что не успело «вызреть» и отстояться. На это ему требуется полгода. Это так долго ждать! Но и сейчас вино из одуванчиков очень приятное на вкус: сладкое с легкой кислинкой и горчинкой. Напиток женский, не крепкий.  Еще в нем много целительной силы.лимон, сахар, изюм, вода, мята, одуванчик","лимон, сахар, изюм, вода, мята, одуванчик",https://img1.russianfood.com/dycontent/images_upl/15/sm_14729.jpg
65,Сок огуречный,"Сок из огурцов очень полезен. Оздоровительные и омолаживающие свойства огуречного сока известны еще с древних времен. Огурцы на 95% состоят из так называемой ""живой воды"" - структурированная вода оптимизирует работу всех систем организма.огурцы свежие, соль","огурцы свежие, соль",https://img1.russianfood.com/dycontent/images_upl/50/sm_49167.jpg
66,Сок тыквенно-яблочный,"Отличное сочетание сладкой тыквы и ароматного яблока.тыква, яблоко","тыква, яблоко",https://img1.russianfood.com/dycontent/images_upl/50/sm_49168.jpg
67,Имбирно-лимонный квас,"Рецепт домашнего кваса из свежего имбиря и лимона. Имбирно-лимонный квас великолепно освежает в летнюю жару.корень имбиря, лимон, сахар, дрожжи сухие","корень имбиря, лимон, сахар, дрожжи сухие",https://img1.russianfood.com/dycontent/images_upl/140/sm_139395.jpg
68,Горячий шоколад,"Поднять себе настроение, посмотреть любимый фильм, укутавшись пледом, с кружкой любимого напитка. Готовится горячий шоколад быстро и просто (всего 3 ингредиента), а главное не дорого.молоко, шоколад, крахмал картофельный","молоко, шоколад, крахмал картофельный",https://img1.russianfood.com/dycontent/images_upl/9/sm_8009.jpg
69,Лимончелло,"Знаменитый итальянский ликер ""Лимончелло"" очень легко сделать в домашних условиях. Помещаю два варианта домашнего лимончелло - со спиртом и с водкой.лимон, спирт, сахар, вода, водка, лимон, вода, сахар","лимон, спирт, сахар, вода, водка, лимон, вода, сахар",https://img1.russianfood.com/dycontent/images_upl/37/sm_36305.jpg
70,Арбузный лимонад,"Из арбузной мякоти получается замечательный освежающий лимонад. Такой ароматный напиток из арбуза готовится просто и быстро, ингредиентов в основе минимум, а вкус и насыщенность корректируется очень легко.арбуз, вода газированная, лимон, сок лимона, мёд","арбуз, вода газированная, лимон, сок лимона, мёд",https://img1.russianfood.com/dycontent/images_upl/537/sm_536982.jpg
71,"Овощной сок ""Чистое здоровье""","Мегаполезный сок из свеклы, моркови и огурцов с лимоном. Овощной сок очищает, тонизирует, насыщает витаминами и минеральными веществами.свекла, морковь, огурец, лимон","свекла, морковь, огурец, лимон",https://img1.russianfood.com/dycontent/images_upl/50/sm_49231.jpg
72,Квас. Имбирный,"Хотя жара спала и местами даже где-то холодно, но попить бодрящего кваса из холодильника по-прежнему приятно... Ни консервантов, ни заменителей - натуральный продукт:) Имбирь и лимон - такое элегантное сочетание, да ещё и пузырьки - шампанское, да и только! :)корень имбиря, лимон, сахар, дрожжи сухие, изюм, вода","корень имбиря, лимон, сахар, дрожжи сухие, изюм, вода",https://img1.russianfood.com/dycontent/images_upl/19/sm_18238.jpg
73,Сок огуречно-яблочный,"Такой сок можно и нужно пить всем, кто следит за своим здоровьем. Огуречно-яблочный сок входит в список разрешенных блюд при питании по Монтиньяку. А еще сок из огурцов и яблок - это просто вкусно!огурец, яблоко, корица","огурец, яблоко, корица",https://img1.russianfood.com/dycontent/images_upl/50/sm_49255.jpg
74,Апельсиновый гоголь-моголь,"Замечательный рецепт апельсинового гоголя-моголя. Добавление сока апельсина и молока в классический напиток делает этот десерт просто бесподобным. Нежный, мягкий молочный вкус, дополненный ароматными цитрусовыми нотками, обилие воздушной белковой пены и шоколадная стружка сверху. Апельсиновый гоголь-моголь получается очень вкусным - отличный питательный завтрак или незатейливое и вполне бюджетное лакомство!яйца, молоко, апельсин, сок апельсиновый, сахар, соль, шоколад","яйца, молоко, апельсин, сок апельсиновый, сахар, соль, шоколад",https://img1.russianfood.com/dycontent/images_upl/513/sm_512903.jpg
75,Коньяк домашний (или «как облагородить самогон»),"Этот крепкий напиток, который называют ""коньяком по-домашнему"", выгодно отличается от обычного самогона более мягким вкусом.самогон, орех грецкий, чай, гвоздика, тмин, сахар ванильный, лимонная кислота","самогон, орех грецкий, чай, гвоздика, тмин, сахар ванильный, лимонная кислота",https://img1.russianfood.com/dycontent/images_upl/65/sm_64553.jpg
76,"Смузи ""Страсть вампира""","Что же такое смузи, рецепты которого стали так популярны в последние годы? Напиток смузи - это коктейль из фруктов и ягод, смешанных в блендере до однородности. Например, коктейль из черники и бананов. Исключительно вкусный чернично-банановый смузи, который готовится за считанные минуты, замечательно подать к завтраку или на десерт.банан, черника, киви, кефир","банан, черника, киви, кефир",https://img1.russianfood.com/dycontent/images_upl/9/sm_8053.jpg
77,Огуречно-лимонный напиток с имбирём и мятой,"Освежающий и полезный напиток, в котором прекрасно сочетаются кислинка лимона, острота имбиря, свежесть огурца, сладость мёда и приятный аромат мяты. Такой огуречно-лимонный напиток с имбирём и мятой прекрасно утоляет жажду в жаркие дни. Компоненты все те же, что для приготовления популярной воды сасси, но в составе также есть мёд.вода, огурцы, лимон, мята, корень имбиря, мёд","вода, огурцы, лимон, мята, корень имбиря, мёд",https://img1.russianfood.com/dycontent/images_upl/520/sm_519951.jpg
78,Ягодный смузи с йогуртом и гранатовым соком,"Любителям ягодных коктейлей представляю полезный, освежающий смузи из замороженных ягод с йогуртом и гранатовым соком.сок грейпфрутовый, йогурт ванильный, ягодная смесь","сок грейпфрутовый, йогурт ванильный, ягодная смесь",https://img1.russianfood.com/dycontent/images_upl/11/sm_10694.jpg
79,Абрикосы в собственном соку на зиму (без сахара),"Весь сахар в этих абрикосах - фруктоза, изначально заложенная в них природой. Рецепт не добавляет ни крупинки извне. Заготовленные на зиму, такие абрикосы сохраняют свой натуральный вкус и аромат. И дело не только в том, что так полезнее, - так нужно для некоторых рецептов с консервированными абрикосами.абрикос, вода","абрикос, вода",https://img1.russianfood.com/dycontent/images_upl/523/sm_522545.jpg
80,Домашний кефир,"В магазинах Вы никогда не встретите однодневного кефира, зато его с легкостью можно приготовить самостоятельно. Рецепт натурального домашнего кефира очень простой!молоко, кефир, закваска","молоко, кефир, закваска",https://img1.russianfood.com/dycontent/images_upl/97/sm_96214.jpg
81,Кофейный бисквитный рулет со сметанно-карамельным кремом и черносливом,"Эффектным и невероятно вкусным получается кофейный бисквитный рулет с кремом из сметаны, варёной сгущёнки и чернослива. Варёную сгущёнку можно заменять другими видами карамели, и сочетание неизменно будет оставаться удачным. Приготовить рулет совсем несложно, главное – четко следовать рецепту.яйца, сахар, мука, разрыхлитель, кофе растворимый, вода, соль, молоко сгущенное, сметана, чернослив, какао-порошок, пудра сахарная","яйца, сахар, мука, разрыхлитель, кофе растворимый, вода, соль, молоко сгущенное, сметана, чернослив, какао-порошок, пудра сахарная",https://img1.russianfood.com/dycontent/images_upl/597/sm_596329.jpg
82,Коктейль для иммунитета,"Напиток с имбирем, лимоном и гранатом. Для иммунитета и настроения:) Витаминная бомба!лимон, корень имбиря, гранат, сахар, мята свежая, корица, гвоздика","лимон, корень имбиря, гранат, сахар, мята свежая, корица, гвоздика",https://img1.russianfood.com/dycontent/images_upl/114/sm_113780.jpg
83,Ряженка домашняя,"Предлагаем рецепт приготовления ряженки в домашних условиях. Домашняя ряженка готовится очень быстро, а главное - из доступных продуктов. Один раз сделаете, попробуете - и этот рецепт домашней ряженки обязательно станет одним из ваших любимых.молоко, сметана, сахар, варенье, ягоды","молоко, сметана, сахар, варенье, ягоды",https://img1.russianfood.com/dycontent/images_upl/163/sm_162817.jpg
84,Абрикосовый компот с вишней и лимоном (на зиму),"Домашний компот - это всегда лучше, чем напитки из магазина. Абрикосовый компот с вишней и лимоном - один из лучших рецептов сладкой заготовки на зиму. Компот насыщен абрикосовым ароматом, а благодаря вишне приобретает красивый цвет и приятную кислинку.абрикос, вишня, сахар, лимон, вода","абрикос, вишня, сахар, лимон, вода",https://img1.russianfood.com/dycontent/images_upl/527/sm_526536.jpg
85,Кетчуп со сливами (на зиму),"Оригинальный вариант соуса на зиму - кетчуп со сливами. Сложно не согласиться с тем, что домашний кетчуп намного вкуснее магазинного, а добавление слив делает его ещё интереснее. Такой ароматный кетчуп со сливами, заготовленный впрок, отлично выручит зимой и станет отличным дополнением как к жареной картошке, мясу, рыбе, так и к просто к ломтику хлеба. Такой рецепт домашнего кетчупа однозначно стоит взять на заметку!помидоры, слива, лук репчатый, зелень петрушки, уксус яблочный, перец чили, чеснок, сахар, соль, перец чёрный молотый","помидоры, слива, лук репчатый, зелень петрушки, уксус яблочный, перец чили, чеснок, сахар, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/533/sm_532970.jpg
86,Консервированные кабачки с вишней (на зиму),"Кабачки нейтральны по вкусу и очень хорошо сочетаются с различными ягодами и фруктами, впитывая их вкусовые оттенки. Предлагаю приготовить вкусную и ароматную заготовку - консервированные кабачки с вишней. Кабачки приобретают вишневый вкус и аромат, становятся кисло-сладкими - это отличная заготовка, которая подарит зимой аромат лета!кабачки, вишня, сахар, вода","кабачки, вишня, сахар, вода",https://img1.russianfood.com/dycontent/images_upl/526/sm_525902.jpg
87,Малиновый ликёр,"Сегодня я хочу вам предложить приготовить малиновый ликёр. Этот напиток получается очень ароматным и вкусным благодаря свежей малине. Для придания ликеру легкой освежающей нотки, добавим немного мяты. Если вы любите и готовите ликёры, тогда наверняка знаете, что для их приготовления нужно достаточно много времени. Но данный рецепт именно тем и отличается, что буквально три дня - и вы можете смело подавать ликер к столу.малина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, мята, вода","малина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, мята, вода",https://img1.russianfood.com/dycontent/images_upl/526/sm_525812.jpg
88,Вино из черноплодной рябины,"Вино удалось - гармоничный вкус, слегка терпкое, очень умеренно вяжет в отличие от сырой ягоды, с лёгкой кислинкой, прекрасно пьётся, напоминает какое-то очень хорошее виноградное сухое вино...рябина черноплодная, сахар","рябина черноплодная, сахар",https://img1.russianfood.com/dycontent/images_upl/24/sm_23360.jpg
89,Арахисовое молоко,"Растительное молоко - отличная альтернатива для вегетарианцев или для тех, кто просто не любит молоко животного происхождения. Приготовить его очень легко - активного участия понадобится минимум, да и в основе всего два простых и доступных ингредиента.арахис, вода","арахис, вода",https://img1.russianfood.com/dycontent/images_upl/520/sm_519063.jpg
90,Горячий шоколад,"Ароматный, очень приятный горячий напиток из шоколада и молока, с пряностями и коньяком. Чудесное зимнее угощение.шоколад горький, молоко, корица, ваниль(стручок), коньяк, сахар","шоколад горький, молоко, корица, ваниль(стручок), коньяк, сахар",https://img1.russianfood.com/dycontent/images_upl/85/sm_84810.jpg
91,Растительное молоко из кунжута,"Растительное молоко - отличная альтернатива молоку животного происхождения. Прекрасный рецепт вегетарианского молока в домашних условиях - из кунжута. По консистенции и цвету такое кунжутное молоко очень похоже на коровье, с едва заметной приятной тёрпкостью кунжута и нежным медовым ароматом.кунжут, вода, мёд","кунжут, вода, мёд",https://img1.russianfood.com/dycontent/images_upl/516/sm_515484.jpg
92,Пряный яблочный напиток,"Этот напиток готовится на основе яблочного сидра, с добавлением сахара и пряностей. Горячий яблочный сидр согреет в холодную погоду.сидр, гвоздика, перец душистый горошком, корица, сахар коричневый","сидр, гвоздика, перец душистый горошком, корица, сахар коричневый",https://img1.russianfood.com/dycontent/images_upl/98/sm_97660.jpg
93,Растительное молоко из семечек подсолнечника,"Оригинальное растительное молоко готовится из семечек подсолнечника достаточно быстро и невероятно просто. Применять такое молоко можно как напиток, а также как ингредиент для приготовления различных блюд.семена подсолнечника, вода","семена подсолнечника, вода",https://img1.russianfood.com/dycontent/images_upl/520/sm_519292.jpg
94,Апельсиновый кисель с белковым кремом,"Яркий, сладкий апельсиновый кисель с освежающим цитрусовым ароматом может стать шикарным десертом. Сверху апельсиновый кисель украшается воздушным белковым кремом с шоколадной крошкой. Получается оригинально и вкусно. Такой кисель своим вкусом и внешним видом порадует и гурманов, и эстетов!апельсин, сахар, крахмал картофельный, белок, сахар, лимонная кислота, шоколад","апельсин, сахар, крахмал картофельный, белок, сахар, лимонная кислота, шоколад",https://img1.russianfood.com/dycontent/images_upl/578/sm_577195.jpg
95,Консервированные персики без сахара,"Нежные ароматные персики можно заготовить на зиму, не используя сахар! Половинки персиков укладываются в банки и заливаются кипящей водой. Затем наполненные баночки подвергаются стерилизации. Такой рецепт консервированных персиков будет актуален для тех, кто старается не употреблять сахар в пищу.персик, вода","персик, вода",https://img1.russianfood.com/dycontent/images_upl/530/sm_529016.jpg
96,Смородиновый ликер,"Готовим сегодня вкуснейший смородиновый ликер. Такой ликер однозначно понравится тем, что готов он будет уже спустя 2-3 дня. В основном такие напитки необходимо выдерживать неделями, но этот вариант довольно быстрого приготовления. Ликер получается очень вкусным, невероятно ароматным и легко пьется. Пока сезон свежих ягод в разгаре, обязательно попробуйте приготовить такой ликер, думаю, вам понравится.смородина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, вода","смородина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, вода",https://img1.russianfood.com/dycontent/images_upl/524/sm_523216.jpg
97,Компот из винограда с апельсином (на зиму),"Сочетание винограда и ломтиков апельсина гарантирует зимнее наслаждение. Виноград задаёт компоту основной вкус - сладкий, с лёгкой кислинкой, а апельсин оттеняет его свежей цитрусовой ноткой. К тому же нежные виноградинки и кусочки апельсина станут прекрасным дополнением к напитку. Компот легко готовится и обладает приятным послевкусием.виноград, сахар, апельсин, вода","виноград, сахар, апельсин, вода",https://img1.russianfood.com/dycontent/images_upl/540/sm_539422.jpg
98,"Настойка на водке ""Домашний коньяк""","Настойка ""Домашний коньяк"" обладает приятным вкусом, в ней отчетливо определяются ореховые ноты, со слегка терпким послевкусием имбиря. Готовится настойка на водке очень легко и быстро, из доступных продуктов.водка, миндаль, чернослив без косточек, кора дубовая, корень имбиря, сахар","водка, миндаль, чернослив без косточек, кора дубовая, корень имбиря, сахар",https://img1.russianfood.com/dycontent/images_upl/263/sm_262784.jpg
99,"Коктейль из кефира, зефира и банана","Великолепный рецепт утреннего коктейля! Благодаря банану и зефиру он получается сладеньким, но в то же время, очень полезным!кефир, йогурт, банан, зефир","кефир, йогурт, банан, зефир",https://img1.russianfood.com/dycontent/images_upl/26/sm_25358.jpg
100,Консервированные персики в собственном соку (без сахара),"Оригинальная заготовка из персиков - консервированные персики в собственном соку без добавления сахара. Ничего лишнего, только персики, да и варить ничего не понадобится - ломтики персиков в своём же соке получаются очень нежными, не разваливаются и напоминают магазинные, только ещё вкуснее. Отличный способ запастись натуральным вкусом и ароматом персиков на зиму!персик",персик,https://img1.russianfood.com/dycontent/images_upl/531/sm_530358.jpg
101,Горячий молочный коктейль с тыквой и пряностями,"Горячий молочный напиток с тыквой и пряностями - находка для  холодного времени года. Основа из молока придаёт напитку нежный сливочный вкус, тыква - аппетитный солнечный оттенок, а пряности - невероятный аромат. Добавьте разнообразия в свои чайно-кофейные будни!тыква, молоко, сахар, бадьян, корица молотая, ванилин, гвоздика","тыква, молоко, сахар, бадьян, корица молотая, ванилин, гвоздика",https://img1.russianfood.com/dycontent/images_upl/557/sm_556234.jpg
102,Компот из кабачков (на зиму),"Оригинальная и не самая распространённая заготовка из кабачков - ароматный компот. Для такого компота на зиму понадобятся только кабачки, сахар и пряности. Компот из кабачков имеет приятный сладковатый вкус с небольшой кислинкой, оттенённый тёплым ароматом гвоздики.кабачки, сахар, уксус, гвоздика, вода","кабачки, сахар, уксус, гвоздика, вода",https://img1.russianfood.com/dycontent/images_upl/527/sm_526387.jpg
103,Молочный кисель с изюмом,"Кисель обычно готовят из фруктов, ягод или сока, а мы приготовим вкусный напиток из молока, да ещё и с изюмом! Добавление мёда обеспечивает напитку не только сладость, но и приятное медовое послевкусие.молоко, вода, мёд, сахар, крахмал, изюм","молоко, вода, мёд, сахар, крахмал, изюм",https://img1.russianfood.com/dycontent/images_upl/581/sm_580336.jpg
104,Смузи вишнево-банановый,"Смузи - нарядный десерт с нежным вкусом.вишня консервированная, сок вишневый, сахар, банан, чай","вишня консервированная, сок вишневый, сахар, банан, чай",https://img1.russianfood.com/dycontent/images_upl/37/sm_36626.jpg
105,Компот из персиков с дыней и мятой (на зиму),"Насыщенный ароматный компот из необычного сочетания продуктов напомнит в разгар холодов о летнем изобилии. Дыня, персик, веточка мяты — только представьте себе вкус такого сочетания. А лучше приготовьте, ведь компот варится очень просто.персик, дыня, сахар, лимонная кислота, мята свежая, вода","персик, дыня, сахар, лимонная кислота, мята свежая, вода",https://img1.russianfood.com/dycontent/images_upl/530/sm_529387.jpg
106,Коктейль Французский Тодди (French Toddy),"Это вариант старого французского напитка, который, как говорят, очень нравился писателю Гюставу Флоберу. В этот коктейль добавляется кофе с сахаром. Рецепт рассчитан на двоих.кальвадос, бренди, сахар, кофе, сливки","кальвадос, бренди, сахар, кофе, сливки",https://img1.russianfood.com/dycontent/images_upl/2/sm_1933.jpg
107,"""Фанта"" на зиму","""Фанта"" на зиму готовится из абрикосов и апельсинов, получается очень вкусной. А времени для приготовления компота из абрикосов понадобится совсем немного.абрикос, апельсин, сахар","абрикос, апельсин, сахар",https://img1.russianfood.com/dycontent/images_upl/201/sm_200640.jpg
108,Холодный венский кофе с шоколадом (из растворимого кофе)НОВЫЙ,"Из растворимого кофе и жирных сливок можно приготовить вот такой освежающий летний десерт.кофе растворимый, вода, сливки, шоколад черный, сахар, пудра сахарная","кофе растворимый, вода, сливки, шоколад черный, сахар, пудра сахарная",https://img1.russianfood.com/dycontent/images_upl/601/sm_600257.jpg
109,"Холодный кофе по-венски, с цедрой и корицейНОВЫЙ","Для приготовления пряного холодного кофе не обязательно использовать дорогостоящие добавки типа ликёров. Достаточно подать кофе со сливками и присыпать их корицей и апельсиновой цедрой.кофе молотый, вода, сливки, молоко, пудра сахарная, апельсин, корица молотая","кофе молотый, вода, сливки, молоко, пудра сахарная, апельсин, корица молотая",https://img1.russianfood.com/dycontent/images_upl/601/sm_600333.jpg
110,Земляничный чай для сердца,"Прихватило сердце у Кузьмича, да так сильно, что мочи не было, пошел к знахарке, та и сказала ему рецепт действенного чая... 
Земляничный чай необходим для поддержания здоровья Вашего сердца.земляника, вода, мёд","земляника, вода, мёд",https://img1.russianfood.com/dycontent/images_upl/4/sm_3447.jpg
111,Кофе глясе с мороженым и земляничным сиропом,"Ароматный напиток для ценителей кофе - глясе с ванильным мороженым и свежим сиропом из земляники.земляника, кофе черный, мороженое ванильное, пудра сахарная, песок сахарный, вода","земляника, кофе черный, мороженое ванильное, пудра сахарная, песок сахарный, вода",https://img1.russianfood.com/dycontent/images_upl/145/sm_144609.jpg
112,Молочный коктейль с земляникой,"Ароматный молочный коктейль с лесной земляникой - холодное летнее лакомство.молоко, мороженое, земляника","молоко, мороженое, земляника",https://img1.russianfood.com/dycontent/images_upl/151/sm_150799.jpg
113,Вино из тутовой ягоды (шелковицы),"Вино из шелковицы или тутовое вино – рецепт для приготовления в домашних условиях.шелковица, вода, корица, сахар, вино белое","шелковица, вода, корица, сахар, вино белое",https://img1.russianfood.com/dycontent/images_upl/74/sm_73769.jpg
114,Смузи из клубники и белой шелковицы,"Освежающий летний десерт - смузи из клубники с мороженым и шелковицей.клубника, шелковица, сахар, мороженое, вода","клубника, шелковица, сахар, мороженое, вода",https://img1.russianfood.com/dycontent/images_upl/140/sm_139861.jpg
